ville,latitude,longitude,pays,iso2,région
Casablanca,335.333,-75.833,Maroc,MA,Casablanca-Settat
Fès,340.433,-50.033,Maroc,MA,Fès-Meknès
Marrakech,316.300,-80.089,Maroc,MA,Marrakech-Safi
Tangier,357.767,-58.039,Maroc,MA,Tanger-Tétouan-Al Hoceïma
Sale,340.333,-68.000,Maroc,MA,Rabat-Salé-Kénitra
Rabat,340.209,-68.416,Maroc,MA,Rabat-Salé-Kénitra
Meknès,338.950,-55.547,Maroc,MA,Fès-Meknès
Oujda-Angad,346.867,-19.114,Maroc,MA,Oriental
Kenitra,342.500,-65.833,Maroc,MA,Rabat-Salé-Kénitra
Agadir,304.333,-96.000,Maroc,MA,Souss-Massa
Tétouan,355.667,-53.667,Maroc,MA,Tanger-Tétouan-Al Hoceïma
Taourirt,344.169,-28.850,Maroc,MA,Oriental
Temara,339.267,-69.122,Maroc,MA,Rabat-Salé-Kénitra
Safi,322.833,-92.333,Maroc,MA,Marrakech-Safi
Khénifra,329.394,-56.675,Maroc,MA,Béni Mellal-Khénifra
El Jadid,332.333,-85.000,Maroc,MA,Casablanca-Settat
Laâyoune,271.536,-132.033,Maroc,MA,Laâyoune-Sakia El Hamra
Mohammedia,336.833,-73.833,Maroc,MA,Casablanca-Settat
Kouribga,328.833,-69.167,Maroc,MA,Béni Mellal-Khénifra
Béni Mellal,323.394,-63.608,Maroc,MA,Béni Mellal-Khénifra
Ait Melloul,303.342,-94.972,Maroc,MA,Souss-Massa
Nador,351.667,-29.333,Maroc,MA,Oriental
Taza,342.167,-40.167,Maroc,MA,Fès-Meknès
Settat,330.000,-76.167,Maroc,MA,Casablanca-Settat
Barrechid,332.667,-75.833,Maroc,MA,Casablanca-Settat
Al Khmissat,338.167,-60.667,Maroc,MA,Rabat-Salé-Kénitra
Inezgane,303.658,-95.381,Maroc,MA,Souss-Massa
Ksar El Kebir,350.090,-59.000,Maroc,MA,Tanger-Tétouan-Al Hoceïma
My Drarga,303.800,-94.800,Maroc,MA,Souss-Massa
Larache,351.833,-61.500,Maroc,MA,Tanger-Tétouan-Al Hoceïma
Guelmim,289.833,-100.667,Maroc,MA,Guelmim-Oued Noun
Berkane,349.167,-23.167,Maroc,MA,Oriental
Ad Dakhla,237.081,-159.456,Maroc,MA,Dakhla-Oued Ed-Dahab
Bouskoura,334.489,-76.486,Maroc,MA,Casablanca-Settat
Al Fqih Ben Çalah,325.000,-65.333,Maroc,MA,Béni Mellal-Khénifra
Oued Zem,328.667,-65.667,Maroc,MA,Béni Mellal-Khénifra
